0312, c239
0313, 8465
0314, b463
0315, a20f
0316, c20f
0317, 98ef
0318, cffe
0319, 08fe
031a, ab1c
031b, 439a
031c, 8463
031d, eedd
031e, e032
031f, cbb8
0320, 14ec
0321, 71e1
0322, 1ae1
0323, 3695
0324, f157
0325, 2cf6
0326, 479d
0327, 92d2
0328, 5696
0329, 9871
032a, 6583
032b, 27dc
032c, f7ee
032d, 75f9
032e, ad9b
032f, a7ee
0330, 946c
0331, d206
0332, cc8a
0333, 0bed
0334, e736
0335, dbd8
0336, b356
0337, e558
0338, 28ae
0339, 7ee8
033a, 8352
033b, a75c
033c, 69cb
033d, ea8a
033e, b626
033f, 4acc
0340, 7a8a
0341, 9264
0342, 6b30
0343, 1d9a
0344, c336
0345, 326c
0346, 0f89
0347, cfde
0348, f521
0349, 5ece
034a, 8334
034b, c13a
034c, aa77
034d, f14f
034e, 9262
034f, 8914
0350, c595
0351, ca1e
0352, 7a89
0353, e151
0354, ef49
0355, 5bef
0356, d118
0357, 20c8
0358, a004
0359, 55e9
035a, 751d
035b, 36cd
035c, aed8
035d, f37f
035e, ff7e
035f, ef89
0360, 3d6e
0361, fbeb
0362, 6c22
0363, 248c
0364, 5283
0365, e9f3
0366, 8bd5
0367, 4d7a
0368, 54e9
0369, 5f48
036a, 76a3
036b, 877c
036c, e2a6
036d, ea82
036e, 31c5
036f, 14cd
0370, f74b
0371, c674
0372, 3a52
0373, 8e36
0374, 8723
0375, 2e07
0376, c4e4
0377, 9acf
0378, 3358
0379, 970b
037a, c761
037b, 906b
037c, cf64
037d, c7d3
037e, c232
037f, ec73
0380, d72b
0381, 8652
0382, 5e27
0383, ff77
0384, e323
0385, 5b27
0386, 3f25
0387, f04d
0388, cd41
0389, f329
038a, c703
038b, b20d
038c, 9b13
038d, 3a61
038e, a632
038f, 8d65
0390, 5388
0391, 15a7
0392, 63b0
0393, f7e5
0394, 36a1
0395, 11e4
0396, 368b
0397, cdfe
0398, a9d1
0399, 5d6e
039a, 74c3
039b, 41ba
039c, 05be
039d, d1e7
039e, fbed
039f, 56d8
03a0, 46c9
03a1, de6c
03a2, 9379
03a3, 8135
03a4, 151d
03a5, f57a
03a6, b718
03a7, dec7
03a8, c060
03a9, a595
03aa, ec79
03ab, 01fa
03ac, c137
03ad, bbdd
03ae, 8a7a
03af, c426
03b0, 08f8
03b1, 1f02
03b2, 7399
03b3, 10d1
03b4, 8789
03b5, 01bd
03b6, 41bf
03b7, cfd6
03b8, 72b4
03b9, 5ec6
03ba, 434e
03bb, 924b
03bc, 30f5
03bd, dff5
03be, 53c5
03bf, 3096
03c0, 558b
03c1, abb3
03c2, 0bf8
03c3, 33f6
03c4, 1a43
03c5, 3162
03c6, 5c5b
03c7, e082
03c8, 7391
03c9, c3d5
03ca, aec4
03cb, 12ad
03cc, b723
03cd, 4e79
03ce, 1f07
03cf, f2ef
03d0, 26de
03d1, 73a6
03d2, 9cd4
03d3, 384f
03d4, c7ca
03d5, fab5
03d6, 9c3d
03d7, 74cb
03d8, 5311
03d9, 4ed0
03da, 25c4
03db, 16ed
03dc, 5a69
03dd, dcf0
03de, 1786
03df, 7f1b
03e0, 48b0
03e1, 31c6
03e2, 54e1
03e3, 2f1b
03e4, e7ec
03e5, 84bc
03e6, 6fe4
03e7, dce7
03e8, c0fe
03e9, 4cf6
03ea, e18a
03eb, 528b
03ec, 12de
03ed, 31c8
03ee, 33e0
03ef, 49a0
03f0, a21e
03f1, 8472
03f2, 2bd8
03f3, a001
03f4, a0ac
03f5, 1eee
03f6, e62d
03f7, 680a
03f8, effa
03f9, 5310
03fa, d023
03fb, 922d
03fc, fa8c
03fd, e67b
03fe, b1fc
03ff, 8adb
0400, e8b1
0401, 244b
0402, 05ba
0403, 3437
0404, c39c
0405, 4398
0406, ddea
0407, 10d3
0408, b0e8
0409, adae
040a, 741a
040b, 9ea0
040c, a875
040d, 5f4c
040e, f78e
040f, c946
0410, f8fc
0411, 0a86
0412, 2da8
0413, ce70
0414, 87b5
0415, 5c9a
0416, a6cd
0417, 84ed
0418, b823
0419, 47f6
041a, 53ab
041b, f142
041c, cb2b
041d, 5666
041e, 102b
041f, 9f6b
0420, 573d
0421, f9b4
0422, 92a1
0423, fd75
0424, 3861
0425, f797
0426, 4fc1
0427, bdb4
0428, 9c47
0429, ec86
042a, a9c3
042b, 073d
042c, 6987
042d, 248e
042e, 611f
042f, 0ac0
0430, 51f7
0431, a6d5
0432, 6969
0433, cd3c
0434, c4c1
0435, 4b4d
0436, d04f
0437, a5db
0438, 8ea7
0439, 70a1
043a, 90e0
043b, 42f0
043c, 4d04
043d, 78cb
043e, ed14
043f, 3e35
0440, fa90
0441, 6c8c
0442, da52
0443, fd04
0444, e6c5
0445, d2f6
0446, 71e5
0447, e79b
0448, 9494
0449, 34a3
044a, d549
044b, 9f4a
044c, c4ac
044d, 5341
044e, 431e
044f, 17a7
0450, 6781
0451, 2d6c
0452, 3551
0453, a0fb
0454, 4605
0455, 4521
0456, 5bff
0457, 9743
0458, 948e
0459, d603
045a, f43f
045b, 26f2
045c, 87cc
045d, 2bcd
045e, 0576
045f, b213
0460, 606c
0461, 5b70
0462, 3ca1
0463, ac42
0464, b80f
0465, f823
0466, 418b
0467, 0e30
0468, de01
0469, 4b21
046a, dfb1
046b, 217d
046c, 17f9
046d, 07a9
046e, 9d6b
046f, 458b
0470, fc1e
0471, 7c98
0472, a912
0473, 6d93
0474, f943
0475, 9e54
0476, 9f4f
0477, 376d
0478, be43
0479, fa2d
047a, 2aad
047b, 882b
047c, e7b8
047d, 2bb1
047e, 344b
047f, 84e9
0480, bff7
0481, b1b5
0482, 33bb
0483, ee0a
0484, bb07
0485, 07ef
0486, 9c65
0487, b909
0488, 9f49
0489, de0f
048a, d592
048b, 7b36
048c, dd93
048d, 8a02
048e, dc23
048f, 2c72
0490, eabb
0491, a4c9
0492, 2e3b
0493, 2fd3
0494, fa4b
0495, 4a3b
0496, 4a30
0497, 4812
0498, fd0b
0499, 0d03
049a, 929e
049b, bebb
049c, 0fda
049d, 049a
049e, 770b
049f, 5cb8
04a0, b447
04a1, 4db2
04a2, 2dad
04a3, 3071
04a4, 19aa
04a5, 19db
04a6, f3dc
04a7, a3bd
04a8, 2dae
04a9, c0e8
04aa, 0a85
04ab, b103
04ac, e87f
04ad, 0054
04ae, f09e
04af, 984e
04b0, 8a86
04b1, 435b
04b2, 02ce
04b3, 5dd6
04b4, ccc6
04b5, 49a1
04b6, 447a
04b7, 6c72
04b8, bd6d
04b9, 3a03
04ba, 7a45
04bb, bbd4
04bc, bf11
04bd, a797
04be, 9f4d
04bf, de23
04c0, d670
04c1, 12b1
04c2, 783c
04c3, 2cbd
04c4, b456
04c5, f43e
